series,race,seed,mode,style,driver,totalRaceTime,fastestLap,pitStops,finalTyre
STYLE,Race1,1,AGENTS,Aggressive,Verstappen,4794.291,89.441,7,IntermediateTyre
STYLE,Race1,1,AGENTS,Balanced,Verstappen,4809.219,89.643,5,IntermediateTyre
STYLE,Race1,1,AGENTS,Conservative,Verstappen,4821.391,89.985,4,IntermediateTyre
STYLE,Race1,2,AGENTS,Aggressive,Verstappen,4799.005,89.452,3,MediumTyre
STYLE,Race1,2,AGENTS,Balanced,Verstappen,4814.342,89.733,2,MediumTyre
STYLE,Race1,2,AGENTS,Conservative,Verstappen,4822.493,89.973,2,MediumTyre
STYLE,Race1,3,AGENTS,Aggressive,Verstappen,4801.483,89.607,3,MediumTyre
STYLE,Race1,3,AGENTS,Balanced,Verstappen,4816.563,89.867,2,MediumTyre
STYLE,Race1,3,AGENTS,Conservative,Verstappen,4824.271,89.949,4,IntermediateTyre
STYLE,Race1,4,AGENTS,Aggressive,Verstappen,4797.038,89.534,3,MediumTyre
STYLE,Race1,4,AGENTS,Balanced,Verstappen,4811.990,89.803,2,MediumTyre
STYLE,Race1,4,AGENTS,Conservative,Verstappen,4821.274,89.904,2,MediumTyre
STYLE,Race1,5,AGENTS,Aggressive,Verstappen,4793.745,89.259,5,MediumTyre
STYLE,Race1,5,AGENTS,Balanced,Verstappen,4797.705,89.645,10,MediumTyre
STYLE,Race1,5,AGENTS,Conservative,Verstappen,4805.410,89.925,10,MediumTyre
STYLE,Race1,6,AGENTS,Aggressive,Verstappen,4797.580,89.455,3,MediumTyre
STYLE,Race1,6,AGENTS,Balanced,Verstappen,4811.664,89.718,2,MediumTyre
STYLE,Race1,6,AGENTS,Conservative,Verstappen,4819.939,89.877,2,MediumTyre
STYLE,Race1,7,AGENTS,Aggressive,Verstappen,4791.522,89.366,6,MediumTyre
STYLE,Race1,7,AGENTS,Balanced,Verstappen,4802.008,89.669,7,MediumTyre
STYLE,Race1,7,AGENTS,Conservative,Verstappen,4816.049,89.936,7,MediumTyre
STYLE,Race1,8,AGENTS,Aggressive,Verstappen,4801.975,89.698,3,MediumTyre
STYLE,Race1,8,AGENTS,Balanced,Verstappen,4815.809,89.704,2,MediumTyre
STYLE,Race1,8,AGENTS,Conservative,Verstappen,4824.039,89.889,2,MediumTyre
STYLE,Race1,9,AGENTS,Aggressive,Verstappen,4789.368,89.315,6,MediumTyre
STYLE,Race1,9,AGENTS,Balanced,Verstappen,4805.669,89.642,7,MediumTyre
STYLE,Race1,9,AGENTS,Conservative,Verstappen,4823.335,89.922,2,IntermediateTyre
STYLE,Race1,10,AGENTS,Aggressive,Verstappen,4799.071,89.371,3,MediumTyre
STYLE,Race1,10,AGENTS,Balanced,Verstappen,4815.162,89.696,2,MediumTyre
STYLE,Race1,10,AGENTS,Conservative,Verstappen,4824.193,89.976,2,MediumTyre
STYLE,Race1,11,AGENTS,Aggressive,Verstappen,4799.500,89.449,3,MediumTyre
STYLE,Race1,11,AGENTS,Balanced,Verstappen,4815.814,89.829,2,MediumTyre
STYLE,Race1,11,AGENTS,Conservative,Verstappen,4823.469,90.178,2,MediumTyre
STYLE,Race1,12,AGENTS,Aggressive,Verstappen,4797.892,89.308,3,MediumTyre
STYLE,Race1,12,AGENTS,Balanced,Verstappen,4813.241,89.629,2,MediumTyre
STYLE,Race1,12,AGENTS,Conservative,Verstappen,4820.743,89.909,2,MediumTyre
STYLE,Race1,13,AGENTS,Aggressive,Verstappen,4795.472,89.356,3,MediumTyre
STYLE,Race1,13,AGENTS,Balanced,Verstappen,4811.582,89.716,2,MediumTyre
STYLE,Race1,13,AGENTS,Conservative,Verstappen,4819.209,89.900,2,MediumTyre
STYLE,Race1,14,AGENTS,Aggressive,Verstappen,4799.540,89.598,3,MediumTyre
STYLE,Race1,14,AGENTS,Balanced,Verstappen,4815.155,89.751,3,MediumTyre
STYLE,Race1,14,AGENTS,Conservative,Verstappen,4823.082,89.928,2,MediumTyre
STYLE,Race1,15,AGENTS,Aggressive,Verstappen,4796.363,89.514,3,MediumTyre
STYLE,Race1,15,AGENTS,Balanced,Verstappen,4811.338,89.767,2,MediumTyre
STYLE,Race1,15,AGENTS,Conservative,Verstappen,4820.822,89.895,2,MediumTyre
STYLE,Race1,16,AGENTS,Aggressive,Verstappen,4796.348,89.285,7,MediumTyre
STYLE,Race1,16,AGENTS,Balanced,Verstappen,4802.869,89.612,8,IntermediateTyre
STYLE,Race1,16,AGENTS,Conservative,Verstappen,4817.153,89.892,4,IntermediateTyre
STYLE,Race1,17,AGENTS,Aggressive,Verstappen,4801.600,89.378,3,MediumTyre
STYLE,Race1,17,AGENTS,Balanced,Verstappen,4815.784,89.879,2,MediumTyre
STYLE,Race1,17,AGENTS,Conservative,Verstappen,4823.989,89.958,2,MediumTyre
STYLE,Race1,18,AGENTS,Aggressive,Verstappen,4800.069,89.316,3,MediumTyre
STYLE,Race1,18,AGENTS,Balanced,Verstappen,4816.480,89.902,2,MediumTyre
STYLE,Race1,18,AGENTS,Conservative,Verstappen,4824.971,90.077,2,MediumTyre
STYLE,Race1,19,AGENTS,Aggressive,Verstappen,4793.084,89.481,3,MediumTyre
STYLE,Race1,19,AGENTS,Balanced,Verstappen,4809.021,89.731,2,MediumTyre
STYLE,Race1,19,AGENTS,Conservative,Verstappen,4815.949,89.969,2,MediumTyre
STYLE,Race1,20,AGENTS,Aggressive,Verstappen,4796.281,89.378,3,MediumTyre
STYLE,Race1,20,AGENTS,Balanced,Verstappen,4813.408,89.641,2,MediumTyre
STYLE,Race1,20,AGENTS,Conservative,Verstappen,4813.389,89.980,10,IntermediateTyre
STYLE,Race2,1,AGENTS,Aggressive,Leclerc,5224.145,89.967,1,WetTyre
STYLE,Race2,1,AGENTS,Balanced,Leclerc,5238.402,90.276,1,WetTyre
STYLE,Race2,1,AGENTS,Conservative,Leclerc,5247.446,90.536,1,WetTyre
STYLE,Race2,2,AGENTS,Aggressive,Leclerc,5205.679,89.821,4,WetTyre
STYLE,Race2,2,AGENTS,Balanced,Leclerc,5244.401,90.149,1,WetTyre
STYLE,Race2,2,AGENTS,Conservative,Leclerc,5253.923,90.429,1,WetTyre
STYLE,Race2,3,AGENTS,Aggressive,Leclerc,5229.779,90.119,1,WetTyre
STYLE,Race2,3,AGENTS,Balanced,Leclerc,5243.441,90.447,1,WetTyre
STYLE,Race2,3,AGENTS,Conservative,Leclerc,5253.394,90.727,1,WetTyre
STYLE,Race2,4,AGENTS,Aggressive,Leclerc,5182.412,89.738,9,WetTyre
STYLE,Race2,4,AGENTS,Balanced,Leclerc,5187.589,90.018,7,WetTyre
STYLE,Race2,4,AGENTS,Conservative,Leclerc,5211.818,90.230,7,WetTyre
STYLE,Race2,5,AGENTS,Aggressive,Leclerc,5225.548,90.230,1,WetTyre
STYLE,Race2,5,AGENTS,Balanced,Leclerc,5239.256,90.532,1,WetTyre
STYLE,Race2,5,AGENTS,Conservative,Leclerc,5247.574,90.792,1,WetTyre
STYLE,Race2,6,AGENTS,Aggressive,Leclerc,5187.545,89.651,7,MediumTyre
STYLE,Race2,6,AGENTS,Balanced,Leclerc,5206.551,89.979,4,IntermediateTyre
STYLE,Race2,6,AGENTS,Conservative,Leclerc,5215.927,90.259,4,IntermediateTyre
STYLE,Race2,7,AGENTS,Aggressive,Leclerc,5230.542,90.115,1,WetTyre
STYLE,Race2,7,AGENTS,Balanced,Leclerc,5245.911,90.411,1,WetTyre
STYLE,Race2,7,AGENTS,Conservative,Leclerc,5252.568,90.542,1,WetTyre
STYLE,Race2,8,AGENTS,Aggressive,Leclerc,5182.137,89.696,6,IntermediateTyre
STYLE,Race2,8,AGENTS,Balanced,Leclerc,5193.893,89.916,6,IntermediateTyre
STYLE,Race2,8,AGENTS,Conservative,Leclerc,5203.531,90.349,4,IntermediateTyre
STYLE,Race2,9,AGENTS,Aggressive,Leclerc,5224.761,89.906,1,WetTyre
STYLE,Race2,9,AGENTS,Balanced,Leclerc,5238.600,90.209,1,WetTyre
STYLE,Race2,9,AGENTS,Conservative,Leclerc,5247.383,90.469,1,WetTyre
STYLE,Race2,10,AGENTS,Aggressive,Leclerc,5214.354,89.826,2,IntermediateTyre
STYLE,Race2,10,AGENTS,Balanced,Leclerc,5226.739,90.154,2,IntermediateTyre
STYLE,Race2,10,AGENTS,Conservative,Leclerc,5221.749,90.434,5,WetTyre
STYLE,Race2,11,AGENTS,Aggressive,Leclerc,5159.929,89.743,12,IntermediateTyre
STYLE,Race2,11,AGENTS,Balanced,Leclerc,5184.103,90.043,9,WetTyre
STYLE,Race2,11,AGENTS,Conservative,Leclerc,5252.974,90.252,1,WetTyre
STYLE,Race2,12,AGENTS,Aggressive,Leclerc,5160.726,89.638,15,WetTyre
STYLE,Race2,12,AGENTS,Balanced,Leclerc,5181.976,89.901,11,WetTyre
STYLE,Race2,12,AGENTS,Conservative,Leclerc,5241.561,90.364,3,WetTyre
STYLE,Race2,13,AGENTS,Aggressive,Leclerc,5202.537,89.586,4,IntermediateTyre
STYLE,Race2,13,AGENTS,Balanced,Leclerc,5217.824,89.970,2,IntermediateTyre
STYLE,Race2,13,AGENTS,Conservative,Leclerc,5226.842,90.250,2,IntermediateTyre
STYLE,Race2,14,AGENTS,Aggressive,Leclerc,5167.289,89.699,10,IntermediateTyre
STYLE,Race2,14,AGENTS,Balanced,Leclerc,5197.565,90.018,6,IntermediateTyre
